SAMPLE_ID,STRUCTURE_ID,PREFERRED_LCMS_METHOD,SPE_METHOD,METHOD,SPE_SUCCESSFUL,CRASHED_OUT,SAMPLE_STATUS,SAMPLE_CURRENT_STATUS,TERMINATION_CAUSE,TERMINATION_STEP,TERMINATION_DETAILS,REACTION_SCALE_(mmol),SELECTED_FRACTIONS,VOLUME_COLLECTED_(mL),TOTAL_FRACTIONS_COLLECTED,RECOVERED_SAMPLE_DRY_MASS_(mg),PERCENT_YIELD,%_PURITY_(BY_LCMS),PURIFICATION_COMMENTS,EXTRA_COMMENTS,MolWt,ExactMolWt,logP,HBD,HBA,TPSA,Flexibility,Rotatable Bonds,qed,HeavyAtomMolWt,MolLogP,MolMR,FractionCSP3,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,FpDensityMorgan1,BalabanJ,BertzCT,HallKierAlpha,Ipc,Kappa2,LabuteASA,PEOE_VSA10,PEOE_VSA2,SMR_VSA10,SMR_VSA4,SlogP_VSA2,SlogP_VSA6,MaxEStateIndex,MinEStateIndex,EState_VSA3,EState_VSA8,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount
MTA0ST2022-051-015,MTA0ST2022-051-015,Xbridge HpH,MCX,MCX/Xbridge HpH,True,,Complete,Completed & Stored,,,,0.1,F1L/F3S,15.24,1.0,12.4,0.498,1.0,,,353.209,352.049381,1.498,1,6,69.3,0.12,3,0.897226681,339.097,2.0391,89.4362,0.266666667,120,0.264433585,-0.367937249,1.086956522,1.669394993,785.0414987,-2.05,192921.1836,6.598580067,142.1643703,0.0,9.589074368,34.79644578,0.0,47.1834787,35.25684903,12.36996659,-0.383988799,41.78774374,15.09727335,23,1,6,0,1,1,1,1,2,4,1,8,2,0,1,1,3
MTA0ST2022-051-016,MTA0ST2022-051-016,Gemini LpH,MCX,MCX/Gemini LpH,True,,Complete,Completed & Stored,,,,0.1,F3L/F1S,14.09,1.0,18.7,0.367,1.0,,,375.259,374.0701165,3.539,1,5,52.23,0.1071,3,0.740797615,359.131,3.8321,100.6722,0.222222222,128,0.254222349,-0.367937249,1.04,1.487051458,931.7256947,-2.24,931663.7911,6.57732979,154.6740251,0.0,9.893218992,45.69937072,0.0,47.1834787,42.59504598,12.88079993,0.042396787,28.69823093,15.09727335,25,1,5,0,1,1,2,1,3,3,1,7,2,0,1,1,4
MTA0ST2022-051-017,MTA0ST2022-051-017,Xbridge HpH,MCX,MCX/Xbridge HpH,True,,Complete,Completed & Stored,,,,0.1,F1L/F3S,25.99,2.0,14.2,0.5589999999999999,1.0,,,386.666,385.0151597,2.448,1,5,56.41,0.1154,3,0.805821452,372.554,3.2975,96.6512,0.25,126,0.25378709,-0.367937249,0.958333333,1.687796294,829.5576153,-1.69,266964.993,7.050304289,153.2795349,5.153109817,9.589074368,46.39738567,0.0,41.9700936,35.12637253,12.50354684,-0.388618429,41.78774374,9.883888252,24,1,5,0,1,1,1,1,2,3,1,8,2,0,1,1,3
MTA0ST2022-051-018,MTA0ST2022-051-018,Xbridge HpH,MCX,MCX/Xbridge HpH,True,,Complete,Completed & Stored,,,,0.1,F3L/F1S,10.73,1.0,19.7,0.3879999999999999,1.0,,,352.221,351.0541321,1.842,1,5,56.41,0.12,3,0.904179435,337.101,2.6441,91.6412,0.25,120,0.25373137,-0.367937249,1.0,1.669394993,782.8899701,-1.98,192921.1836,6.642490783,142.9762687,0.0,9.589074368,34.79644578,0.0,41.9700936,41.3232161,12.40996659,-0.272877688,41.78774374,9.883888252,23,1,5,0,1,1,1,1,2,3,1,7,2,0,1,1,3
MTA0ST2022-051-019,MTA0ST2022-051-019,Gemini LpH,MCX,MCX/Gemini LpH,True,,Complete,Completed & Stored,,,,0.1,F1L/F3S,29.8,1.0,13.7,0.534,1.0,,,353.209,352.049381,1.498,1,6,69.3,0.12,3,0.897226681,339.097,2.0391,89.4362,0.266666667,120,0.272344017,-0.367937233,1.086956522,1.669394993,785.0414987,-2.05,192921.1836,6.598580067,142.1959167,5.693927995,9.589074368,34.79644578,0.0,46.95407213,35.38732553,12.34746659,-0.335377688,36.22429225,14.86786677,23,1,6,0,1,1,1,1,2,4,1,8,2,0,1,1,3
MTA0ST2022-051-020,MTA0ST2022-051-020,Gemini LpH,MCX,MCX/Gemini LpH,True,,Complete,Completed & Stored,,,,0.1,F1L/F3S,13.59,4.0,19.6,0.0,1.0,,,367.236,366.0650311,1.897,1,6,69.3,0.1154,3,0.884884016,351.108,2.34752,94.1732,0.3125,126,0.272356979,-0.367937233,1.125,1.687796294,829.0673903,-2.05,266964.993,6.826144339,148.5608588,11.51833249,9.589074368,34.79644578,0.0,46.95407213,29.06000546,12.49968882,-0.319173984,42.04869675,14.86786677,24,1,6,0,1,1,1,1,2,4,1,8,2,0,1,1,3
MTA0ST2022-051-022,MTA0ST2022-051-022,Xbridge HpH,MCX,MCX/Xbridge HpH,True,,Complete,Completed & Stored,,,,0.1,F3L/F4S,33.01,2.0,15.6,0.573,0.94,,,342.27,341.1061677,2.335,1,4,35.58,0.125,3,0.89760056,321.102,2.6416,90.8487,0.5625,120,0.225401304,-0.367937665,1.045454545,1.571733199,538.192498,-0.97,138581.6567,7.070410815,140.906746,0.0,4.794537184,34.79644578,5.917906046,50.0756279,18.19910121,12.5361703,0.206274388,15.95244636,10.21669833,22,1,4,0,2,2,1,0,1,3,1,6,2,0,2,2,3
MTA0ST2022-051-023,MTA0ST2022-051-023,Gemini LpH,MCX,MCX/Gemini LpH,True,,Complete,Completed & Stored,,,,0.1,F3L,20.74,1.0,19.5,0.055,0.99,,,340.254,339.0905176,2.393,1,4,35.58,0.125,3,0.898877921,321.102,2.5617,90.8247,0.4375,118,0.249170822,-0.367937253,1.090909091,1.608291206,595.0537569,-1.23,138581.6567,6.900821357,140.217143,0.0,4.794537184,34.79644578,0.0,50.0756279,29.84822584,12.46788326,0.190081972,10.04526663,10.21669833,22,1,4,0,2,2,1,0,1,3,1,6,2,0,1,1,3
MTA0ST2022-051-024,MTA0ST2022-051-024,Xbridge HpH,MCX,MCX/Xbridge HpH,True,,Complete,Completed & Stored,,,,0.1,F3L/F4S,49.14,2.0,18.0,0.354,0.93,,,356.297,355.1218177,2.747,1,4,35.58,0.12,3,0.885244162,333.113,2.8876,95.3957,0.588235294,126,0.225671403,-0.367937665,1.173913043,1.5905524,572.9569491,-0.97,198242.0196,7.285800464,147.2716881,0.0,4.794537184,34.79644578,11.83581209,50.0756279,18.19910121,12.74658696,0.173866981,21.8703524,17.14043553,23,1,4,0,2,2,1,0,1,3,1,6,2,0,2,2,3
MTA0ST2022-051-025,MTA0ST2022-051-025,Xbridge HpH,MCX,MCX/Xbridge HpH,True,,Complete,Completed & Stored,,,,0.1,F3L/F4S,33.0,2.0,12.6,0.2739999999999999,0.94,,,356.297,355.1218177,2.847,1,4,35.58,0.12,3,0.884922365,333.113,3.0301,95.4437,0.588235294,126,0.225412196,-0.367937665,1.173913043,1.570470942,572.9569491,-0.97,192921.1836,7.285800464,147.2716881,0.0,4.794537184,34.79644578,5.917906046,49.57271232,18.19910121,12.68172585,0.18312624,21.99428719,17.14043553,23,1,4,0,2,2,1,0,1,3,1,6,2,0,2,2,3
MTA0ST2022-051-026,MTA0ST2022-051-026,Xbridge HpH,HLB,HLB/Xbridge HpH,True,,Complete,Completed & Stored,,,,0.1,F4L/F3S,12.45,9.0,9.6,0.439,1.0,;high EIC baseline/lots of collected fractions;;;,,350.249,349.0748675,3.04,1,4,49.57,0.12,3,0.843235186,333.113,3.538,95.4329,0.235294118,120,0.253551219,-0.398708778,0.956521739,1.658131724,727.528461,-1.91,192921.1836,6.68649092,144.9349893,0.0,4.794537184,40.48383206,0.0,36.98611508,42.46456948,12.50718882,0.019526417,34.38561721,4.899909731,23,2,4,0,1,1,2,0,2,3,1,6,2,0,1,1,3
MTA0ST2022-051-027,MTA0ST2022-051-027,Xbridge HpH,HLB,HLB/Xbridge HpH,True,,Complete,Completed & Stored,,,,0.1,F3L,17.89,1.0,16.0,0.613,0.96,,,364.223,363.071674,2.411,1,4,35.58,0.16,4,0.895463762,347.087,2.4967,86.5617,0.533333333,126,0.254920956,-0.367937662,1.130434783,1.639254533,602.3848273,-1.11,124569.9377,6.415951755,142.8728747,5.414990469,4.794537184,34.79644578,5.414990469,56.50107264,18.19910121,13.23928374,-2.6348598,36.22429225,10.21669833,23,1,4,0,2,2,1,0,1,3,1,8,3,0,2,2,3
MTA0ST2022-051-028,MTA0ST2022-051-028,Xbridge HpH,HLB,HLB/Xbridge HpH,True,,Complete,Completed & Stored,,,,0.1,F3L,15.73,1.0,23.2,0.03,0.98,,,378.303,377.1061677,3.039,1,4,49.57,0.1481,4,0.879270856,357.135,3.9755,103.6229,0.315789474,132,0.253484888,-0.367937249,1.04,1.661409835,771.0145639,-1.75,481391.0381,7.645957194,157.6648736,0.0,4.794537184,34.79644578,5.733667477,36.98611508,42.46456948,12.7445282,-0.084027253,28.69823093,4.899909731,25,2,4,0,1,1,2,0,2,3,1,6,3,0,1,1,3
MTA0ST2022-051-029,MTA0ST2022-051-029,Gemini LpH,HLB,HLB/Gemini LpH,True,,Complete,Completed & Stored,,,,0.1,F4L/F3S,16.21,1.0,11.3,0.0,0.99,,,376.287,375.0905176,3.169,1,4,35.58,0.1071,3,0.86307081,357.135,3.9238,103.2142,0.315789474,130,0.253833499,-0.384467236,1.0,1.458638321,816.3116585,-1.91,931663.7911,6.77215563,156.8690139,0.0,4.794537184,40.48383206,0.0,43.53087149,36.39820241,12.94246659,0.133646787,23.13477944,10.21669833,25,1,4,0,2,2,2,0,2,3,1,6,2,0,1,1,4
00YRB22-047-001,00YRB22-047-001,Xbridge HpH,MCX,MCX/Xbridge HpH,True,,Complete,Cancelled,,,,0.1,,,,,0.0,,,,359.308,359.120524,1.753,2,8,99.94,0.1852,5,0.837968073,343.18,1.7477,79.4895,0.571428571,136,0.457636727,-0.349961072,1.32,1.51819252,661.426219,-2.43,466809.0938,6.4660095,140.233422,0.0,5.316788604,17.6911388,11.07361877,56.77011616,23.61576694,12.73912029,-4.908212661,25.93115606,25.27804696,25,2,8,0,2,2,0,1,1,6,2,11,2,0,1,1,3
00YRB22-047-002a_S2,00YRB22-047-002,LunaOmega LpH,MCX,MCX/LunaOmega_LowpH,True,,Complete,Completed & Shipped,,,,0.1,F3L,21.78,1.0,2.4,0.514,1.0,eluted in solvent front; RunNextMethod-Luna;;;some baseline inetgration in Virscidian;,,358.32,358.1252751,1.366,2,7,87.05,0.1852,5,0.849644389,341.184,2.3527,81.6945,0.533333333,136,0.457636727,-0.349961072,1.4,1.51819252,659.7354694,-2.36,466809.0938,6.50694915,141.0137741,0.0,4.983978521,17.43018579,11.07361877,51.78613764,29.68213401,12.74585257,-4.900240932,31.61854233,20.29406844,25,2,7,0,2,2,0,1,1,5,2,10,2,0,1,1,3
00YRB22-047-003_HLB,00YRB22-047-003,Gemini LpH,HLB,HLB/Gemini LpH,True,,Complete,Completed & Shipped,,,,0.1,F3L/F4S,16.08,1.0,18.4,0.276,0.99,no product seen in crude/first attempt. sample remade/SPE run cloned;;added MeOH to confirm dryness;;,,387.362,387.1518242,1.758,2,8,99.94,0.2069,6,0.822961706,367.202,1.73382,87.4435,0.625,148,0.457636727,-0.349961072,1.37037037,1.461137888,717.006197,-2.43,1106813.721,7.294788172,152.9633063,0.0,9.967957042,11.74279952,11.07361877,56.77011616,17.54939987,12.78120246,-4.905050484,31.62508405,25.27804696,27,2,8,0,2,2,0,1,1,6,2,11,3,0,1,1,3
00YRB22-047-003_MCX,00YRB22-047-003,Xbridge HpH,MCX,MCX/Xbridge HpH,True,,Complete,Completed & Shipped,,,,0.1,F3L,18.28,2.0,9.9,0.0,0.97,,,387.362,387.1518242,1.758,2,8,99.94,0.2069,6,0.822961706,367.202,1.73382,87.4435,0.625,148,0.457636727,-0.349961072,1.37037037,1.461137888,717.006197,-2.43,1106813.721,7.294788172,152.9633063,0.0,9.967957042,11.74279952,11.07361877,56.77011616,17.54939987,12.78120246,-4.905050484,31.62508405,25.27804696,27,2,8,0,2,2,0,1,1,6,2,11,3,0,1,1,3
00YRB22-047-006_RP,00YRB22-047-006,Xbridge HpH,MCX,MCX/Xbridge HpH,True,,Complete,Completed & Shipped,,,,0.1,F3L/F1S,13.28,1.0,14.7,0.0,0.99,";;
Manual PurLCMS. Send to IO2;LpH. 2nd injection done offline; added 11.9mL from 700001KLE to Selected D2 in PO12 run"";;;",,359.308,359.120524,1.582,2,8,99.94,0.1852,5,0.837968073,343.18,1.7477,79.4895,0.571428571,136,0.457636727,-0.349961072,1.32,1.51819252,661.426219,-2.43,466809.0938,6.4660095,140.233422,6.327320075,0.0,17.43018579,11.07361877,56.77011616,23.87671994,12.74075053,-4.906158092,31.61854233,25.27804696,25,2,8,0,2,2,0,1,1,6,2,11,2,0,1,1,3
00YRB22-047-010,00YRB22-047-010,Gemini LpH,MCX,MCX/Gemini LpH,True,,Complete,Completed & Shipped,,,,0.1,F3L/F1S,12.61,4.0,24.6,0.0,0.91,manual PurLCMS;all group 1 (isobar 1) not Selected;;;,,364.349,364.081696,1.846,2,7,87.05,0.1923,5,0.843741693,349.229,2.4142,79.5715,0.615384615,132,0.457636727,-0.349961072,1.458333333,1.516980265,628.9064769,-1.88,311587.567,6.204887782,138.6541373,5.001081977,10.30076712,28.08066737,11.07361877,51.78613764,16.86309557,12.7201721,-4.895256994,30.93223803,20.29406844,24,2,7,0,2,2,0,1,1,6,2,11,2,0,1,1,3
00YRB22-047-013,00YRB22-047-013,Gemini LpH,MCX,MCX/Gemini LpH,True,,Complete,Completed & Shipped,,,,0.1,F3L/F4S,19.05,2.0,25.6,0.0,0.99,F1=99; F4=45; manually switched small fraction to F4 in PurLCMS,,442.438,442.1827899,2.227,2,8,86.63,0.1765,6,0.752027974,417.238,2.7943,106.9315,0.6,170,0.457636727,-0.37777782,1.129032258,1.260156147,818.7090067,-2.53,11607498.55,8.541380685,177.1214423,0.0,0.0,23.11757206,11.07361877,73.10543586,29.421181,12.87344512,-4.906584098,44.83230626,20.20999965,31,2,8,0,3,3,1,0,1,6,2,11,3,0,2,2,4
00YRB22-047-015,00YRB22-047-015,Gemini LpH,MCX,MCX/Gemini LpH,True,,Complete,Completed & Shipped,,,,0.1,F3L/F1S,16.14,1.0,72.2,0.0,1.0,Send to IO2;;dried in Genovac overnight;;0.3mmol of limiting reagent used in synthesis,,375.351,375.1518242,1.01,2,8,91.98,0.2143,6,0.83475447,355.191,1.3689,83.8825,0.666666667,144,0.457636727,-0.349961072,1.461538462,1.462991191,696.9442434,-2.3,719380.3853,6.78210191,147.1312438,0.0,4.681802935,11.74279952,18.12129076,56.58264387,17.41892337,12.76358357,-4.898500237,32.47591246,20.40877172,26,2,8,0,2,2,0,1,1,6,2,11,3,0,1,1,3
00YRB22-047-017,00YRB22-047-017,Gemini LpH,MCX,MCX/Gemini LpH,True,,Complete,Completed & Shipped,,,,0.1,F3L/F1S,15.56,1.0,16.1,0.083,0.99,Send to IO2,,398.345,398.1314231,1.597,2,9,104.4,0.1613,5,0.805337204,381.209,2.0004,90.4445,0.5,150,0.457636727,-0.349961072,1.357142857,1.337506184,921.7306132,-2.89,2793665.292,6.617942444,156.320036,0.0,5.316788604,23.20783951,11.07361877,61.40021735,29.68213401,12.82316762,-4.915783439,37.39619606,25.39275024,28,2,9,0,2,2,0,2,2,7,2,12,2,0,1,1,4
00YRB22-047-018,00YRB22-047-018,Xbridge HpH,MCX,MCX/Xbridge HpH,True,,Complete,Completed & Shipped,,,,0.1,F1L,5.91,1.0,3.4,0.0,0.85,Crude peak height 31.,,409.368,409.1361741,2.652,2,8,99.94,0.1563,5,0.794621831,391.224,2.9009,96.9955,0.444444444,154,0.457636727,-0.349961072,1.24137931,1.358193241,953.9023914,-2.95,4240170.861,7.139179491,162.9150866,5.516700718,9.967957042,28.46358723,11.07361877,56.77011616,35.74850108,12.85246427,-4.916480036,42.65194377,25.27804696,29,2,8,0,2,2,1,1,2,6,2,11,2,0,1,1,4
00YRB22-047-020,00YRB22-047-020,Gemini LpH,MCX,MCX/Gemini LpH,True,,Complete,Completed & Shipped,,,,0.1,F3L/F4S,4.13,3.0,4.2,0.1889999999999999,0.91,RunNextMethod; lots of Isobars observed; Gemini/Luna,,398.341,398.1201897,2.266,2,8,100.2,0.1613,5,0.809823762,381.205,3.0989,91.4665,0.470588235,150,0.457636727,-0.44347859,1.321428571,1.319619456,920.5084074,-2.82,2740289.355,6.656282364,156.4897679,5.516700718,0.0,28.52990665,11.07361877,51.78613764,34.16560437,12.81737462,-4.91291261,42.71826319,20.29406844,28,2,8,0,2,2,1,1,2,6,2,11,2,0,1,1,4
00YRB22-047-021,00YRB22-047-021,LunaOmega LpH,MCX,MCX/LunaOmega_LowpH,True,,Complete,Completed & Shipped,,,,0.1,F3L,17.92,1.0,7.5,0.0,0.92,RunNextMethod Luna.;column not properly conditioned;;;,,397.357,397.1361741,1.933,2,8,91.46,0.1613,5,0.815062599,379.213,2.6054,92.6495,0.470588235,150,0.457636727,-0.349961072,1.321428571,1.337506184,920.1438794,-2.82,2793665.292,6.656282364,157.1319345,11.46504,9.71748321,23.20783951,11.07361877,56.18683225,35.74850108,12.82826966,-4.909866279,37.39619606,20.29406844,28,2,8,0,2,2,0,2,2,6,2,11,2,0,1,1,4
00YRB22-047-023,00YRB22-047-023,Xbridge HpH,MCX,MCX/Xbridge HpH,True,,Complete,Completed & Shipped,,,,0.1,F1L/F2S,10.24,1.0,1.3,0.446,0.97,manual PurLCMS. Send to IO2,,398.341,398.1201897,2.266,2,8,100.2,0.1613,5,0.809823762,381.205,3.0989,91.4665,0.470588235,150,0.457636727,-0.441271563,1.321428571,1.344621172,920.5084074,-2.82,2815796.371,6.656282364,156.4897679,5.516700718,0.0,28.52990665,11.07361877,51.78613764,34.16560437,12.82647575,-4.916105282,42.71826319,20.29406844,28,2,8,0,2,2,1,1,2,6,2,11,2,0,1,1,4
00YRB22-047-024,00YRB22-047-024,Xbridge HpH,MCX,MCX/Xbridge HpH,True,,Complete,Completed & Shipped,,,,0.1,F3L,30.54,1.0,18.2,0.311,0.92,,,408.38,408.1409251,2.471,2,7,87.05,0.1563,5,0.796341404,389.228,3.5059,99.2005,0.421052632,154,0.457636727,-0.349961072,1.275862069,1.358193241,951.8600591,-2.88,4240170.861,7.178538932,163.6954386,0.0,4.983978521,28.20263422,11.07361877,51.78613764,41.81486814,12.85810451,-4.90990528,31.61854233,20.29406844,29,2,7,0,2,2,1,1,2,5,2,10,2,0,1,1,4
00YRB22-047-025,00YRB22-047-025,Gemini LpH,MCX,MCX/Gemini LpH,True,,Complete,Completed & Shipped,,,,0.1,F1L/F2S,9.74,2.0,12.4,0.79,1.0,,,398.341,398.1201897,2.266,2,8,100.2,0.1613,5,0.809823762,381.205,3.0989,91.4665,0.470588235,150,0.457636727,-0.356300536,1.321428571,1.319619456,920.5084074,-2.82,2740289.355,6.656282364,156.4411242,0.0,0.0,28.39943015,11.07361877,51.95882238,34.07475244,12.81791282,-4.912255014,37.20156247,20.46675317,28,2,8,0,2,2,1,1,2,6,2,11,2,0,1,1,4
00YRB22-047-026,00YRB22-047-026,Xbridge HpH,MCX,MCX/Xbridge HpH,True,,Complete,Completed & Shipped,,,,0.1,F1L/F2S,15.61,1.0,31.7,0.131,1.0,Send to IO2,,401.341,401.1198553,1.836,2,8,92.62,0.1613,5,0.795080294,383.197,2.6864,90.0225,0.529411765,152,0.457636727,-0.453593031,1.25,1.301861037,807.7179703,-2.69,2740289.355,6.727690528,157.3803275,0.0,0.0,17.43018579,11.07361877,53.59510143,23.35481393,12.81710552,-4.913241408,43.117566,15.31008991,28,2,8,0,3,3,1,0,1,6,2,11,2,0,1,1,4
